start,end,size_bytes,memory_band,known_entries,mod2_diff_bytes,classification
0x6EEE,0x6FE2,245,low_code_mixed,fuel_output_scheduler;rpm_limiter_hysteresis,0,reachable_or_evidence_seeded_executable
0x6FE4,0x70FF,284,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x7101,0x723C,316,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x723E,0x729B,94,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x729D,0x72C9,45,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x72CB,0x7390,198,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x7392,0x77A0,1039,low_code_mixed,timer_capture_handler;engine_period_update,0,reachable_or_evidence_seeded_executable
0x77A2,0x7BD7,1078,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x7BD9,0x7C55,125,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x7C57,0x7C6C,22,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x7C6E,0x7C88,27,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x7C8A,0x7C9F,22,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x7CA1,0x7CD8,56,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x7CF4,0x7D12,31,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x7D14,0x7D32,31,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x7D34,0x7D52,31,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x7D54,0x7D72,31,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x7D74,0x7DCD,90,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x7DCF,0x7E76,168,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x7E78,0x7F1A,163,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x7F1C,0x7F31,22,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x7F33,0x7FFC,202,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x9315,0x93BC,168,mid_code_mixed,,0,reachable_or_evidence_seeded_executable
0x93BE,0x9433,118,mid_code_mixed,,0,reachable_or_evidence_seeded_executable
0x9435,0x94AA,118,mid_code_mixed,,0,reachable_or_evidence_seeded_executable
0x94AC,0x94E0,53,mid_code_mixed,,0,reachable_or_evidence_seeded_executable
0x94E2,0x9521,64,mid_code_mixed,,0,reachable_or_evidence_seeded_executable
0x9523,0x9534,18,mid_code_mixed,,0,reachable_or_evidence_seeded_executable
0x9536,0x9569,52,mid_code_mixed,,0,reachable_or_evidence_seeded_executable
0x956B,0x95F1,135,mid_code_mixed,period_history_init,0,reachable_or_evidence_seeded_executable
0x95F3,0x96CF,221,mid_code_mixed,interrupt_handler_95f3,0,reachable_or_evidence_seeded_executable
0x96D3,0x96FA,40,mid_code_mixed,,0,reachable_or_evidence_seeded_executable
0x9707,0x97C3,189,mid_code_mixed,,0,reachable_or_evidence_seeded_executable
0x97C5,0x9A14,592,mid_code_mixed,,0,reachable_or_evidence_seeded_executable
0x9A16,0x9D23,782,mid_code_mixed,,0,reachable_or_evidence_seeded_executable
0x9D25,0x9D4F,43,mid_code_mixed,runtime_stage_9d25,0,reachable_or_evidence_seeded_executable
0x9D51,0x9D7B,43,mid_code_mixed,,0,reachable_or_evidence_seeded_executable
0x9D88,0x9D9E,23,mid_code_mixed,,0,reachable_or_evidence_seeded_executable
0x9E87,0xA021,411,mid_code_mixed,spi_status_stream,0,reachable_or_evidence_seeded_executable
0xA03D,0xA777,1851,mid_code_mixed,sci_mode_init;sci_buffers_init,0,reachable_or_evidence_seeded_executable
0xA7DE,0xA854,119,mid_code_mixed,,0,reachable_or_evidence_seeded_executable
0xA9E4,0xAA19,54,mid_code_mixed,,0,reachable_or_evidence_seeded_executable
0xAAD0,0xAAD2,3,mid_code_mixed,sci_service_dispatch_aad0,0,reachable_or_evidence_seeded_executable
0xAAE0,0xAAEB,12,mid_code_mixed,sci_service_55_entry,0,reachable_or_evidence_seeded_executable
0xAB52,0xAB7B,42,mid_code_mixed,,0,reachable_or_evidence_seeded_executable
0xAE70,0xAEA1,50,mid_code_mixed,,0,reachable_or_evidence_seeded_executable
0xAFC0,0xB26C,685,mid_code_mixed,,0,reachable_or_evidence_seeded_executable
0xB26E,0xB2A9,60,mid_code_mixed,interp_1d_word,0,reachable_or_evidence_seeded_executable
0xB2AB,0xB2D4,42,mid_code_mixed,interp_1d_u8;interp_1d_s8,0,reachable_or_evidence_seeded_executable
0xB2D6,0xB329,84,mid_code_mixed,interp_2d_u8,0,reachable_or_evidence_seeded_executable
0xB32B,0xB381,87,mid_code_mixed,interp_2d_s8,0,reachable_or_evidence_seeded_executable
0xB383,0xB3B7,53,mid_code_mixed,axis_lookup_u8,0,reachable_or_evidence_seeded_executable
0xB3B9,0xB3F4,60,mid_code_mixed,period_axis_lookup,0,reachable_or_evidence_seeded_executable
0xB3F6,0xB405,16,mid_code_mixed,,0,reachable_or_evidence_seeded_executable
0xB407,0xB42D,39,mid_code_mixed,,0,reachable_or_evidence_seeded_executable
0xB42F,0xB474,70,mid_code_mixed,fuel_runtime_sequence,0,reachable_or_evidence_seeded_executable
0xB476,0xB582,269,mid_code_mixed,runtime_stage_b476;runtime_stage_b48c;countdown_init_b555;runtime_stage_b562,0,reachable_or_evidence_seeded_executable
0xB800,0xBB3D,830,high_code_mixed,reset_entry;fault_soft_restart_bit01;fault_soft_restart_bit02;fault_fatal_bit04;fault_stop_bit08;ignition_output_vector_lookup,0,reachable_or_evidence_seeded_executable
0xBB3F,0xBB96,88,high_code_mixed,,0,reachable_or_evidence_seeded_executable
0xBB98,0xBC8F,248,high_code_mixed,ignition_output_init,0,reachable_or_evidence_seeded_executable
0xBC91,0xBD11,129,high_code_mixed,,0,reachable_or_evidence_seeded_executable
0xBD13,0xBD57,69,high_code_mixed,,0,reachable_or_evidence_seeded_executable
0xBD59,0xBD6C,20,high_code_mixed,,0,reachable_or_evidence_seeded_executable
0xBD6E,0xBF60,499,high_code_mixed,idle_air_control,0,reachable_or_evidence_seeded_executable
0xBF62,0xBF6D,12,high_code_mixed,,0,reachable_or_evidence_seeded_executable
0xC000,0xC441,1090,high_code_mixed,closed_loop_adaptive_state_machine,0,reachable_or_evidence_seeded_executable
0xC44C,0xC46C,33,high_code_mixed,,0,reachable_or_evidence_seeded_executable
0xC578,0xC90E,919,high_code_mixed,,0,reachable_or_evidence_seeded_executable
0xC910,0xC949,58,high_code_mixed,runtime_stage_c910,0,reachable_or_evidence_seeded_executable
0xC94B,0xC9C3,121,high_code_mixed,adaptive_cell_interpolation,0,reachable_or_evidence_seeded_executable
0xC9C8,0xCAC3,252,high_code_mixed,,0,reachable_or_evidence_seeded_executable
0xCAC5,0xCAD5,17,high_code_mixed,,0,reachable_or_evidence_seeded_executable
0xCAD7,0xCBC2,236,high_code_mixed,,0,reachable_or_evidence_seeded_executable
0xCBC4,0xCE38,629,high_code_mixed,seed_bank_selector_20b1;adaptive_trim_update_gate,0,reachable_or_evidence_seeded_executable
0xCE3A,0xD0C6,653,high_code_mixed,,0,reachable_or_evidence_seeded_executable
0xD0C8,0xD103,60,high_code_mixed,,0,reachable_or_evidence_seeded_executable
0xD105,0xD174,112,high_code_mixed,,0,reachable_or_evidence_seeded_executable
0xD176,0xD1B2,61,high_code_mixed,adaptive_substate,0,reachable_or_evidence_seeded_executable
0xD2D9,0xD799,1217,high_code_mixed,main_runtime_loop;main_periodic_body;build_rpm_axis_2036;build_rpm_index_2044;runtime_variables_init,0,reachable_or_evidence_seeded_executable
0xD79B,0xD7D5,59,high_code_mixed,,0,reachable_or_evidence_seeded_executable
0xD80B,0xD99F,405,high_code_mixed,,0,reachable_or_evidence_seeded_executable
0xDA54,0xDA5F,12,high_code_mixed,,0,reachable_or_evidence_seeded_executable
0xDCD9,0xDCE4,12,high_code_mixed,,0,reachable_or_evidence_seeded_executable
0xDD29,0xDD3F,23,high_code_mixed,,0,reachable_or_evidence_seeded_executable
0xE078,0xE16C,245,high_code_mixed,,0,reachable_or_evidence_seeded_executable
0xE227,0xE57D,855,high_code_mixed,fuel_signed_trim_lookup,0,reachable_or_evidence_seeded_executable
0xE580,0xE6D8,345,high_code_mixed,fuel_base_accumulator;fuel_final_stack,0,reachable_or_evidence_seeded_executable
0xE6DA,0xE970,663,high_code_mixed,apply_signed_fraction;apply_adaptive_trim;fuel_iat_rpm_corrections;sum_fuel_corrections,0,reachable_or_evidence_seeded_executable
0xE972,0xE991,32,high_code_mixed,,0,reachable_or_evidence_seeded_executable
0xE993,0xE9A6,20,high_code_mixed,,0,reachable_or_evidence_seeded_executable
0xE9A8,0xEB14,365,high_code_mixed,afterstart_state_handler,0,reachable_or_evidence_seeded_executable
0xEB16,0xEB35,32,high_code_mixed,,0,reachable_or_evidence_seeded_executable
0xEB37,0xEBB2,124,high_code_mixed,,0,reachable_or_evidence_seeded_executable
0xEBB4,0xEF28,885,high_code_mixed,,0,reachable_or_evidence_seeded_executable
0xEF2A,0xEF6F,70,high_code_mixed,,0,reachable_or_evidence_seeded_executable
0xEF71,0xF020,176,high_code_mixed,,0,reachable_or_evidence_seeded_executable
