869.688,2785.5,110.5882352941,45.12,18.2421875,18.5,0.405125,1,1016.6567993164,0,0.515625,99,0,0,14.6850585938,7.0648156495,14.452,112.6784,0,112.3975,5941.38,9,64,1.5625,-2.34375,200.6426,0,11,15.35,19,13,98,105,111,12,15.9,15.9
869.719,2783.03,111.9294117647,45.484,17.99234375,18.24,0.407855,1,1012.7015893555,0,0.5208333333,99,0,0,14.6850585938,7.2418041407,14.6,114.41,0,115.21875,5988,8.8,64,2.34375,-1.5625,200.72,0,11,15.35,19,13,98,105,111,12,15.647,15.6444444444
869.745,2779,114.1176470588,46.52,17.28125,17.5,0.415625,1,1006.2483520508,0,0.5625,99,0,0,14.6850585938,7.4521469996,14.6,115.618,0,115.70625,6020.4,8.862745098,64,2.5888480392,-1.5625,200.7396,0,11,15.35,19,13,98,105,111,12,15.361,15.3555555556
869.775,2795.25,117.6470588235,46.9912,17.031875,17.31,0.41971,1,1007.8929443359,0,0.5690104167,99,0,0,14.6850585938,7.5005258571,14.6,117.43,0,116.4375,6069,9.2,64,3.90625,-1.5625,200.79,0,11,15.35,19,13,98,105,111,12,14.8,14.8
869.806,2796.48,117.9294117647,47.76,16.625,17,0.426375,1,1007.9576757813,0,0.6015625,99,0,0,14.6850585938,7.7977102677,14.6,120.76,0,120.875,6134,9.128,64,3.90625,-1.5625,200.58,0,11,14.63125,19,13,98,105,111,12,14.7591836735,14.7555555556
869.838,2805.5,120,50.01,15.4453125,16,0.440875,1,1008.4323730469,0,0.6292067308,99,0,0,14.6850585938,7.9096574475,14.5469387755,121.5055102041,0,121.7455357143,6156.8163265306,9,64,3.90625,-1.5625,200.6024,0,11,14.63125,19,13,98,105,111,12,14.6285714286,14.6262626263
869.867,2806.86,121.6,50.2762,15.2459375,15.78,0.44324,1,1009.8114233398,0,0.6640625,99,0,0,14.6850585938,8.0831755762,14.4,123.57,0,124.15625,6220,9.2,64,3.90625,-1.5625,200.74,0,11,14.63125,19,13,98,105,111,12,14.5102040816,14.5090909091
869.894,2809.5,124.7058823529,51.22,14.5390625,15,0.451625,1,1012.4884033203,0,0.7265625,99,0,0,14.6850585938,8.3385919048,14.3215686275,125.107254902,0,124.9037990196,6235.2941176471,9.2,64.137254902,3.90625,-1.5625,200.7946,0,11,14.63125,19,13,98,105,111,12,14.4,14.4
869.925,2824.5,128.2352941176,51.866,14.35203125,14.81,0.45704,1,1013.4895629883,0,0.7374441964,99,0,0,14.6850585938,8.3602271703,14.2,127.49,0,126.0625,6259,9.2,65,3.90625,-1.5625,200.95,0,11,14.63125,19,13,98,105,111,12,14.431,14.431
869.956,2825.85,128.3764705882,52.92,14.046875,14.5,0.465875,1,1013.9178393555,0,0.7734375,99,0,0,14.6850585938,8.5188857838,14.4,131.08,0,130.03125,6329,9.1265306122,65,3.90625,-1.5625,201.58,0,11,14.63125,19,13,98,105,111,12,14.462,14.462
869.987,2835.75,129.4117647059,54.39,13.3203125,14,0.479125,1,1017.0585327148,0,0.8359375,99,0,0,14.6850585938,8.6054268458,14.4,131.7808,0,131.18625,6350.84,9,65,3.90625,-1.5625,201.6742857143,0,11,14.63125,19,13,98,105,111,12,14.5,14.5
870.019,2841.3724489796,130.7803121249,54.9152,13.210625,13.87,0.4827325,1,1016.7718107262,0,0.8302556818,99,0,0,14.6850585938,8.7592776225,14.4,134,0,134.84375,6420,9,65,3.90625,-1.5625,202.35,0,11,14.63125,19,13,98,105,111,12,14.5,14.5
870.049,2850.25,132.9411764706,56.41,12.8984375,13.5,0.493,1,1016.3190917969,0,0.796875,99,0,0,14.6850585938,9.0597674209,14.4,135.8432,0,136.01375,6440.16,9.048,65,3.90625,-1.5625,202.6844,0,11,14.381875,19,13,98,105,111,12,14.5,14.5
870.075,2864,138.8235294118,56.7216,12.7203125,13.31,0.497465,1,1015.7733154297,0,0.78421875,99,0,0,14.6850585938,9.0913188497,14.4,137.84,0,137.28125,6462,9.2,65,3.90625,-1.5625,203.23,0,11,13.975,19,13,98,105,111,12,14.5,14.5
870.106,2865.98,139.2470588235,57.23,12.4296875,13,0.50475,1,1015.9906176758,0,0.7265625,99,0,0,14.6850585938,9.2851347697,14.2,141.61,0,140.25,6546,9.2745098039,65.3725490196,3.90625,-1.5625,204.15,0,11,13.975,19,13,98,105,111,12,14.5128712871,14.5128712871
870.138,2880.5,142.3529411765,58.89,11.625,12,0.52025,1,1017.5841674805,0,0.6990625,99,0,0,14.6850585938,9.3873013011,14.2,142.697755102,0,141.3443877551,6566.1632653061,9.4,66,3.90625,-1.5625,204.2728571429,0,11,13.975,19,13,98,105,111,12,14.5445544554,14.5445544554
870.166,2881.3979591837,143.1212484994,59.5063265306,11.4384566327,11.7959183673,0.5237959184,1,1018.9244496871,0,0.6640625,99,0,0,14.6850585938,9.5405510983,14.2,145.71,0,144.375,6622,9.4,66,3.90625,-1.5625,205.01,0,11,13.975,19,13,98,105,111,12,14.5722772277,14.5722772277
870.194,2883.25,144.7058823529,61.91,10.7109375,11,0.537625,1,1021.6887817383,0,0.6796875,99,0,0,14.6850585938,9.8410408967,14.1215686275,147.3335294118,0,146.3480392157,6643.568627451,9.3725490196,66,3.90625,-1.5625,205.2790196078,0,11,13.975,19,13,98,105,111,12,14.6,14.6
870.225,2893.75,148.2352941176,62.6668627451,10.3187806373,10.6078431373,0.5419387255,1,1017.3583374023,0,0.6829304245,99,0,0,14.6850585938,9.8033379314,14,149.85,0,149.40625,6677,9.2,66,3.90625,-1.5625,205.99,0,11,13.975,19,13,98,105,111,12,14.631,14.631
870.256,2896.09,148.8,63.84,9.7109375,10,0.548625,1,1016.9968945313,0,0.6953125,99,0,0,14.6850585938,9.5555755882,14,153.25,0,154.15625,6745,9.2,66.3673469388,2.1843112245,-1.5625,207.08,0,11,13.975,19,13,98,105,111,12,14.662,14.662
870.287,2913.25,152.9411764706,65.69,8.78125,9,0.560625,1,1014.3463134766,0,0.6985677083,99,0,0,14.6850585938,9.7408776305,14.048,154.2724,0,154.97375,6761.56,9.2,67,-0.78125,-1.5625,207.1772,0,11,13.9,19,13,98,105,111,12,14.7,14.7
870.315,2913.475,154.3529411765,65.969,8.61109375,8.82,0.5626725,1,1013.1560180664,0,0.703125,99,0,0,14.6850585938,10.1114817152,14.2,157.51,0,157.5625,6814,9.4,67,2.34375,-1.5625,207.89,0,11,13.35,19,13,98,105,111,12,14.803960396,14.803960396
870.345,2914,157.6470588235,67.24,7.8359375,8,0.572,1,1010.3786621094,0,0.7109375,99,0,0,14.6850585938,10.3969470236,14.12,159.278,0,158.85,6837.2,9.432,67,2.34375,-1.5625,208.3464,0,11,13.35,19,13,98,105,111,12,14.9524752475,14.9524752475
870.375,2938.75,162.3529411765,67.8974,7.4559375,7.62,0.5780325,1,1012.3415527344,0,0.7122395833,99,0,0,14.6850585938,10.4361285366,14,161.93,0,160.78125,6872,9.6,67,2.34375,-1.5625,209.52,0,11,13.35,19,13,98,105,111,12,15.2,15.2
870.406,2939.65,163.0588235294,68.97,6.8359375,7,0.587875,1,1012.5397021484,0,0.71875,99,0,0,14.6850585938,10.6824123321,13.8,166.65,0,164.59375,6993,9.524,67.38,2.34375,-1.5625,210.58,0,11,13.35,19,13,98,105,111,12,15.2,15.2
870.437,2946.25,168.2352941176,73.18,6.1015625,6.5,0.60675,1,1013.9927978516,0,0.71875,99,0,0,14.6850585938,10.8068151086,13.8,167.7342857143,0,165.6530612245,7004,9.4,68,2.34375,-1.5625,210.7024,0,11,13.35,19,13,98,105,111,12,15.2,15.2
870.467,2951.01,169.4352941176,73.6432653061,6.0840242347,6.5,0.6098112245,1,1012.7583056641,0,0.71875,99,0,0,14.6850585938,11.0279756002,13.8,171.48,0,169.3125,7042,9.4,68,3.90625,-1.5625,211.6,0,11,13.35,19,13,98,105,111,12,15.2,15.2
870.494,2960.25,171.7647058824,75.45,6.015625,6.5,0.62175,1,1010.3619384766,0,0.7265625,99,0,0,14.6850585938,11.2833919288,13.8,173.2622,0,171.23625,7065.56,9.4,68,3.90625,-1.5625,211.7924,0,11,13.35,19,13,98,105,111,12,15.2,15.2
870.525,2977.25,176.4705882353,76.1682,5.87609375,6.31,0.6276875,1,1009.5161132813,0,0.7265625,99,0,0,14.6850585938,11.3411331058,13.8,176.17,0,174.375,7104,9.4,68,3.90625,-1.5625,212.34,0,11,13.35,19,13,97,105,111,12,15.1079207921,15.1079207921
870.556,2978.9,177.1764705882,77.34,5.6484375,6,0.637375,1,1009.0981860352,0,0.7265625,99,0,0,14.6850585938,11.7040776466,14,181.21,0,179.6875,7220,9.472,68,3.90625,-1.5625,212.74,0,11,12.7875,19,13,97,105,111,12,15.0158415842,15.0158415842
870.588,2991,182.3529411765,79.65,5.3203125,5.5,0.65725,1,1006.0333862305,0,0.7333984375,99,0,0,14.6850585938,11.8924847501,13.8980392157,182.5431372549,0,180.8584558824,7233.2549019608,9.6,68,3.90625,-1.5625,212.8716,0,11,12.7875,19,13,97,105,111,12,14.9,14.9
870.615,2996.7,183.7647058824,80.2836,5.266875,5.5,0.661075,1,1006.5138183594,0,0.7421875,99,0,0,14.6850585938,12.1998858139,13.6,186.44,0,184.28125,7272,9.8,69,5.46875,-1.5625,213.68,0,11,12.7875,19,13,97,105,111,12,14.9,14.9
870.645,3010,187.0588235294,83.17,5.0234375,5.5,0.6785,1,1007.6348266602,0,0.7421875,99,0,0,14.6850585938,12.6656450014,13.6,188.5102083333,0,186.359375,7314.75,9.7714285714,69,5.46875,-1.5625,213.8816,0,11,12.7875,19,13,97,105,111,12,14.9,14.9
870.674,3024.25,191.7647058824,84.5668,4.851875,5.14,0.68768,1,1026.7027587891,0,0.7433268229,99,0,0,14.6850585938,12.7233390426,13.6,191.67,0,189.53125,7380,9.6,69,5.46875,-1.5625,214.4,0,11,12.7875,19,13,97,105,111,12,14.9,14.9
870.706,3026.5833333333,192.5720876586,87.05,4.546875,4.5,0.704,1,1026.2495679668,0,0.75,99,0,0,14.6850585938,13.1464286787,13.6,196.89,0,194.71875,7421,9.676,69.38,5.765625,-1.5625,214.76,0,11,12.7875,19,13,97,105,111,12,14.8693877551,14.8693877551
870.737,3041.25,197.6470588235,88.76,4.140625,4,0.722625,1,1023.4009399414,0,0.7532429245,99,0,0,14.6850585938,13.3367388844,13.648,198.0996,0,195.91125,7440.92,9.8,70,6.25,-1.5625,214.8114285714,0,11,12.7875,19,13,97,105,111,12,14.7744897959,14.7744897959
870.768,3047.82,199.3411764706,89.1512,4.0375,3.88,0.727035,1,1023.7026904297,0,0.7578125,99,0,0,14.6850585938,13.657261336,13.8,201.93,0,199.6875,7504,9.8,70,6.6748903509,-1.5625,215.0771428571,0,11,12.7875,19,13,97,105,111,12,14.6795918367,14.6795918367
870.794,3059.5,202.3529411765,90.39,3.7109375,3.5,0.741,1,1024.2391357422,0,0.765625,99,0,0,14.6850585938,14.0478980739,13.724,203.7312,0,201.338125,7509.32,9.8,70,7.03125,-1.5625,215.3,0,11,12.7875,19,13,97,105,111,12,14.6,14.6
870.825,3071.75,207.0588235294,90.7776,3.63375,3.31,0.746795,1,1026.2687988281,0,0.765625,99,0,0,14.6850585938,14.0828530096,13.6,206.67,0,204.03125,7518,9.8,70,7.8125,-1.5625,215.62,0,11,12.35,19,13,97,105,111,12,14.538,14.538
870.856,3074.54,207.3411764706,91.41,3.5078125,3,0.75625,1,1025.8869799805,0,0.765625,99,0,0,14.6850585938,14.3333633823,13.8,210.7,0,209.3125,7575,9.8,70.3673469388,7.8125,-1.5625,216.28,0,11,12.35,19,13,97,105,111,12,14.476,14.476
870.887,3095,209.4117647059,93.48,3.5078125,3,0.770875,1,1023.0869750977,0,0.7721354167,99,0,0,14.6850585938,14.484492075,13.8,211.5666666667,0,210.6746323529,7571.431372549,9.8,71,7.8125,-1.5625,216.334,0,11,12.35,19,13,97,105,111,12,14.4,14.4
870.915,3102.05,209.7647058824,93.1992,3.5078125,3,0.7722475,1,1022.6469360352,0,0.78125,99,0,0,14.6850585938,14.7390246101,13.8,214.1,0,214.65625,7561,10,71,9.375,-0.78125,216.73,0,11,12.35,19,13,97,105,111,12,14.3794117647,14.3794117647
870.945,3118.5,210.5882352941,91.92,3.5078125,3,0.7785,1,1021.6201782227,0,0.7890625,99,0,0,14.6850585938,14.8592205295,13.72,215.128,0,215.29375,7561,10.0285714286,71.1428571429,9.375,-0.78125,216.9092,0,11,12.35,19,13,97,105,111,12,14.35,14.35
870.975,3132.5,212.9411764706,92.1176,3.5078125,3,0.788,1,1022.5385742188,0,0.7890625,99,0,0,14.6850585938,14.8465999579,13.6,216.67,0,216.25,7561,10.2,72,9.375,-0.78125,217.37,0,11,12.35,19,13,97,105,111,12,14.3,14.3
871.006,3136.04,213.3647058824,92.44,3.5078125,3,0.8035,1,1022.4074780273,0,0.7890625,99,0,0,14.6850585938,14.7540491,13.6,218.34,0,215.9375,7590,10.2,72,7.296875,-0.78125,218.02,0,11,12.35,19,12.62,97,105,111,12,14.2898989899,14.2898989899
871.037,3162,216.4705882353,93.48,3.5078125,3,0.848125,1,1021.446105957,0,0.7956730769,99,0,0,14.6850585938,14.7648667328,13.648,218.6688,0,216.1925,7593.36,10.2,72,3.90625,-0.78125,218.0212,0.0009375,11,12.3125,19,12,97,105,111,12,14.2585858586,14.2585858586
871.067,3166.59,216.4705882353,93.48,3.5078125,3,0.8443025,1,1021.177824707,0,0.8046875,99,0,0,14.6850585938,14.7840980799,13.8,219.71,0,217,7604,10,73,0,-0.78125,218.03,0.0078125,11,12.0375,19,12,97,105,111,12,14.2282828283,14.2282828283
871.094,3175.5,216.4705882353,93.48,3.5078125,3,0.83075,0.9873046875,1020.657043457,0,0.8125,99,0,0,14.5004882813,14.7089756303,13.8,219.995,0,218.246875,7615.02,10.0244897959,73,0,-0.78125,217.9156,0.0078125,11,12.0375,19,12,97,105,111,12,14.2,14.2
871.125,3180.75,216.4705882353,93.8752,3.5078125,3,0.839965,0.9873046875,1022.6846313477,0,0.8125,99,0,0,14.5004882813,14.7762853451,13.8,220.46,0,220.28125,7633,10.2,73,0,-0.78125,217.59,0.0078125,11,12.0375,19,12,97,105,111,12,14.3515151515,14.3515151515
871.156,3183.96,216.7529411765,94.52,3.5078125,3,0.855,0.9873046875,1022.9606884766,0,0.8125,99,0,0,14.5004882813,15.1897593077,13.8,221.93,0,220.90625,7619,10.124,73.38,0,-0.78125,216.95,0,11,12.0375,19,12,97,105,111,12,14.5080808081,14.5080808081
871.187,3207.5,218.8235294118,94.52,3.5234375,3,0.873625,0.9775390625,1024.9851074219,0,0.822265625,99,0,0,14.3733340993,15.4472378212,13.848,222.0476,0,220.59125,7622.36,10,74,0,-0.78125,216.9056,0,11,12.0375,19,12,97,105,111,12,14.7,14.7
871.215,3220.475,218.8235294118,94.6136,3.543125,3,0.8748625,0.9638671875,1023.8239074707,0,0.8359375,99,0,0,14.1591796875,15.8808858439,14,222.42,0,219.59375,7633,10.2,74,0,-0.78125,216.58,0,11,12.0375,18,12,97,105,111,12,14.532,14.532
871.245,3250.75,218.8235294118,95.04,3.6328125,3,0.8805,0.9638671875,1021.114440918,0,0.84375,99,0,0,14.1591796875,15.9259593137,13.84,222.48,0,220.84375,7639,10.2285714286,74.1428571429,0,-0.78125,216.3448,0,11,12.0375,18,12,97,105,111,12,14.292,14.292
871.275,3250.5,217.6470588235,94.8424,3.626875,3.19,0.8807375,0.9593098958,1021.9816894531,0,0.84375,99,0,0,14.111015625,15.983653355,13.6,222.57,0,222.71875,7648,10.4,75,0,-0.78125,215.74,0,11,12.0375,18,12,97,105,111,12,13.9,13.9
871.306,3251.97,218.0705882353,94.52,3.6171875,3.5,0.881125,0.9365234375,1021.73234375,0,0.84375,99,0,0,13.7578125,16.4067429911,13.6,222.95,0,220.4375,7619,10.324,75,0,-0.78125,213.93,0,11.38,11.81875,18.38,12,97,105,111,12,13.8551401869,13.852
871.337,3262.75,221.1764705882,94,3.65625,3.5,0.877125,0.9365234375,1019.9038085938,0,0.8503605769,99,0,0,13.7578125,16.3349933862,13.648,222.8348,0,220.6775,7619,10.2,75,0,-0.78125,213.8544,0,12,11.81875,19,12,97,105,111,12,13.7392523364,13.728
871.367,3273.75,219.6078431373,94.1144,3.676875,3.5,0.87509,0.9365234375,1019.6398722331,0,0.859375,99,0,0,13.7578125,16.2114246221,13.8,222.47,0,221.4375,7619,10.6,75,0,-0.78125,213.3,0,12,11.81875,19,12,97,105,111,12,13.6271028037,13.608
871.394,3295.75,216.4705882353,94.52,3.75,3.5,0.867875,0.9111328125,1019.1119995117,0,0.8671875,99,0,0,13.3901367188,16.5419634003,13.648,222.223,0,220.89125,7619,10.572,75.14,0,-0.78125,212.936,0,12,11.81875,19,12,97,105,111,12,13.5,13.5
871.425,3311.75,220,94.7176,3.7678125,3.5,0.8665925,0.9111328125,1023.1151123047,0,0.8686899038,99,0,0,13.3901367188,16.52753989,13.4,221.82,0,220,7619,10.4,76,0,-0.78125,211.9,0,12,11.81875,19,12,97,105,111,12,13.4483870968,13.438
871.456,3314.54,219.4352941176,95.04,3.796875,3.5,0.8645,0.9111328125,1022.5751855469,0,0.875,99,0,0,13.3901367188,16.421767481,13.6,221.64,0,220.75,7648,10.4,76,0,-0.78125,211.23,0,12,11.81875,19,12,97,105,111,12,13.3817204301,13.376
871.487,3335,215.2941176471,93.48,3.828125,3.5,0.8565,0.9034016927,1018.6157226563,0.0748697917,0.8782552083,99,0,0,13.2914839764,16.5155938874,13.6,221.3952,0,220.27,7648,10.4,76,0,-0.78125,211.2144,0,12,11.81875,19,12,97,105,111,12,13.3,13.3
871.515,3338.75,216,93.6672,3.83515625,3.5,0.856095,0.892578125,1019.1137878418,0.1796875,0.8828125,99,0,0,13.1215820313,16.6771838096,13.6,220.62,0,218.75,7648,10.8,77,0,-0.78125,211.1,0,12,11.81875,19,12,97,105,111,12,13.258,13.258
871.545,3347.5,217.6470588235,94.52,3.8671875,3.5,0.85425,0.892578125,1020.2759399414,0.1796875,0.890625,99,0,0,13.1215820313,16.6245980949,13.52,220.384,0,219.0875,7648,10.7428571429,77,0,-0.78125,211.0608,0,12,11.80125,19,12,97,105,111,12,13.198,13.198
